INDEX,EXPRESSION,DATETIME,CLOSE
95,D6U21-D6Z21,2021-06-01T11:39:00,0.00035
96,D6U21-D6Z21,2021-06-01T11:43:00,0.00025
97,D6U21-D6Z21,2021-06-01T11:48:00,0.0003
98,D6U21-D6Z21,2021-06-01T11:49:00,0.00025
99,D6U21-D6Z21,2021-06-01T11:50:00,0.00025
100,D6U21-D6Z21,2021-06-01T11:54:00,0.00015
101,D6U21-D6Z21,2021-06-01T12:04:00,-0.00025
102,D6U21-D6Z21,2021-06-01T12:08:00,-0.0003
103,D6U21-D6Z21,2021-06-01T12:10:00,-0.00035
104,D6U21-D6Z21,2021-06-01T12:12:00,-0.00035
105,D6U21-D6Z21,2021-06-01T12:15:00,-0.0004
106,D6U21-D6Z21,2021-06-01T12:19:00,-0.00015
107,D6U21-D6Z21,2021-06-01T12:22:00,-0.00045
108,D6U21-D6Z21,2021-06-01T12:35:00,-0.00015
109,D6U21-D6Z21,2021-06-01T12:43:00,-0.00035
110,D6U21-D6Z21,2021-06-01T12:59:00,-0.0002
111,D6U21-D6Z21,2021-06-01T13:13:00,-0.0002
112,D6U21-D6Z21,2021-06-01T13:19:00,-0.0002
113,D6U21-D6Z21,2021-06-01T13:23:00,-0.00025
114,D6U21-D6Z21,2021-06-01T13:25:00,-0.0004
115,D6U21-D6Z21,2021-06-01T13:36:00,0.0004
116,D6U21-D6Z21,2021-06-01T13:39:00,0.00035
117,D6U21-D6Z21,2021-06-01T13:40:00,0.00035
118,D6U21-D6Z21,2021-06-01T13:43:00,0.00035
119,D6U21-D6Z21,2021-06-01T13:56:00,0.00055
120,D6U21-D6Z21,2021-06-01T14:00:00,0.0004
121,D6U21-D6Z21,2021-06-01T14:02:00,-0.0001
122,D6U21-D6Z21,2021-06-01T14:05:00,0.00005
123,D6U21-D6Z21,2021-06-01T14:20:00,0.0007
124,D6U21-D6Z21,2021-06-01T14:25:00,0.0005
125,D6U21-D6Z21,2021-06-01T14:26:00,0.00035
